Decade,Title,Artist,Gender,,,,,,,,
1990s,She's In Love With the Boy,Trisha Yearwood,Female,,,,,,,,
1990s,Fancy,Reba McEntire,Female,,,,,,,,
1990s,How Do I Live,LeAnn Rimes,Female,,,,,,,,
1990s,Independence Day,Martina McBride,Female,,,,,,,,
1990s,Man! I Feel Like A Woman!,Shania Twain,Female,,,,,,,,
1990s,When You Say Nothing At All,Alison Krauss (& Union Station),Female,,,,,,,,
1990s,Wide Open Spaces,Dixie Chicks,Female,,,,,,,,
1990s,It Matters To Me,Faith Hill,Female,,,,,,,,
1990s,Little Good-Byes,SHeDAISY,Female,,,,,,,,
1990s,Single White Female,Chely Wright,Female,,,,,,,,
1990s,Strawberry Wine,Deana Carter,Female,,,,,,,,
1990s,Maybe It Was Memphis,Pam Tillis,Female,,,,,,,,
1990s,Watermelon Crawl,Tracy Byrd,Female,,,,,,,,
1990s,I Try to Think About Elvis,Patty Loveless,Female,,,,,,,,
1990s,"Heads Carolina, Tails California",Jo Dee Messina,Female,,,,,,,,
1990s,Alibis,Tracy Lawrence,Female,,,,,,,,
1990s,Passionate Kisses,Mary Chapin Carpenter,Female,,,,,,,,
1990s,This Kiss,Faith Hill,Female,,,,,,,,
1990s,Goodbye Earl,Dixie Chicks,Female,,,,,,,,
1990s,Walkaway Joe,Trisha Yearwood,Female,,,,,,,,
1990s,Should've Been a Cowboy,Toby Keith,Male,,,,,,,,
1990s,Don't Take The Girl,Tim McGraw,Male,,,,,,,,
1990s,My Maria,Brooks & Dunn,Male,,,,,,,,
1990s,How Forever Feels,Kenny Chesney,Male,,,,,,,,
1990s,"Love Without End, Amen",George Strait,Male,,,,,,,,
1990s,Anymore,Travis Tritt,Male,,,,,,,,
1990s,Chasin' That Neon Rainbow,Alan Jackson,Male,,,,,,,,
1990s,Friends In Low Places,Garth Brooks,Male,,,,,,,,
1990s,Achy Breaky Heart,Billy Ray Cyrus ,Male,,,,,,,,
1990s,I'm in a Hurry (And Don't Know Why),Alabama ,Male,,,,,,,,
1990s,Don't Let Our Love Start Slippin' Away,Vince Gill,Male,,,,,,,,
1990s,That Ain't My Truck,Rhett Akins,Male,,,,,,,,
1990s,Be My Baby Tonight,John Michael Montgomery,Male,,,,,,,,
1990s,She Don't Know She's Beautiful,Sammy Kershaw,Male,,,,,,,,
1990s,I Cross My Heart,George Strait,Male,,,,,,,,
1990s,"I Like It, I Love It",Tim McGraw,Male,,,,,,,,
1990s,It's Your Love,Tim McGraw,Male,,,,,,,,
1990s,Chattahoochee,Alan Jackson,Male,,,,,,,,
1990s,Whenver You Come Around,Vince Gill,Male,,,,,,,,
1990s,What's She Doing Now,Garth Brooks,Male,,,,,,,,
2010s,Peter Pan,Kelsea Ballerini,Female,,,,,,,,
2010s,Blown Away,Carrie Underwood,Female,,,,,,,,
2010s,Mine,Taylor Swift,Female,,,,,,,,
2010s,Heart Like Mine,Miranda Lambert,Female,,,,,,,,
2010s,Burning House,Cam,Female,,,,,,,,
2010s,My Church,Maren Morris,Female,,,,,,,,
2010s,The Joke,Brandi Carlile,Female,,,,,,,,
2010s,Girl Goin' Nowhere,Ashley McBryde,Female,,,,,,,,
2010s,Follow Your Arrow,Kacey Musgraves,Female,,,,,,,,
2010s,Road Less Traveled,Lauren Alaina,Female,,,,,,,,
2010s,Girl in a Country Song,Maddie & Tae,Female,,,,,,,,
2010s,Got My Name Changed Back,Pistol Annies,Female,,,,,,,,
2010s,The House That Built Me,Miranda Lambert,Female,,,,,,,,
2010s,Something in the Water,Carrie Underwood,Female,,,,,,,,
2010s,Black Like Me,Mickey Guyton,Female,,,,,,,,
2010s,Automatic,Miranda Lambert,Female,,,,,,,,
2010s,I Hope,Gabby Barrett,Female,,,,,,,,
2010s,Every Little Thing ,Carly Pearce,Female,,,,,,,,
2010s,A Little Bit Stronger,Sara Evans,Female,,,,,,,,
2010s,Space Cowboy,Kacey Musgraves,Female,,,,,,,,
2010s,Drink a Beer,Luke Bryan,Male,,,,,,,,
2010s,Dirt on My Boots,Jon Pardi,Male,,,,,,,,
2010s,God's Country,Blake Shelton,Male,,,,,,,,
2010s,Dirt Road Anthem,Jason Aldean,Male,,,,,,,,
2010s,Cruise,Florida Georgia Line,Male,,,,,,,,
2010s,Free,Zac Brown Band,Male,,,,,,,,
2010s,Springsteen,Eric Church,Male,,,,,,,,
2010s,Blue Ain't Your Color,Keith Urban,Male,,,,,,,,
2010s,It Goes Like This,Thomas Rhett,Male,,,,,,,,
2010s,Body Like a Back Road,Sam Hunt,Male,,,,,,,,
2010s,Humble and Kind,Tim McGraw,Male,,,,,,,,
2010s,You & Tequila,Kenny Chesney,Male,,,,,,,,
2010s,Think of You,Chris Young,Male,,,,,,,,
2010s,Whiskey Glasses,Morgan Wallen,Male,,,,,,,,
2010s,Beautiful Crazy,Luke Combs,Male,,,,,,,,
2010s,Drunk on a Plane,Dierks Bentley,Male,,,,,,,,
2010s,A Man Don't Have to Die,Brad Paisley,Male,,,,,,,,
2010s,Wagon Wheel,Darius Rucker,Male,,,,,,,,
2010s,Broken Halos,Chris Stapleton,Male,,,,,,,,
2010s,Tequila,Dan + Shay,Male,,,,,,,,